District_Ids,District_Name,Region,Population,Villages,Small_Town,Medium_Town,Large_Town,No_Of_Cities,Ratio_Of_Urban_Populations,Avg_Salary,Unemployment_Rate_1995,Unemployment_Rate_1996,No_of_Enterprenuers_per_1000,No_of_Crimes_Commited_1995,No_of_Crimes_Commited_1996
1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100,12541,0.29,0.430000007152557,167,85677,99107
2,Benesov,central Bohemia,88884,80,26,6,2,5,46.7000007629395,8507,1.67,1.85000002384186,132,2159,2674
3,Beroun,central Bohemia,75232,55,26,4,1,5,41.7000007629395,8980,1.95,2.21000003814697,111,2824,2813
4,Kladno,central Bohemia,149893,63,29,6,2,6,67.4000015258789,9753,4.64,5.05000019073486,109,5244,5892
5,Kolin,central Bohemia,95616,65,30,4,1,6,51.4000015258789,9307,3.85,4.42999982833862,118,2616,3040
6,Kutna Hora,central Bohemia,77963,60,23,4,2,4,51.5,8546,2.95,4.01999998092651,126,2640,3120
7,Melnik,central Bohemia,94725,38,28,1,3,6,63.4000015258789,9920,2.26,2.86999988555908,130,4289,4846
8,Mlada Boleslav,central Bohemia,112065,95,19,7,1,8,69.4000015258789,11277,1.25,1.44000005722046,127,5179,4987
9,Nymburk,central Bohemia,81344,61,23,4,2,6,55.2999992370605,8899,3.39,3.97000002861023,149,2987,2487
10,Praha - vychod,central Bohemia,92084,55,29,4,3,5,46.7000007629395,10124,0.56,0.540000021457672,141,3810,4316
11,Praha - zapad,central Bohemia,75637,35,36,9,0,7,36.5,9622,0.45,0.589999973773956,154,3475,3529
12,Pribram,central Bohemia,107870,84,29,6,1,6,58,8754,3.83,4.30999994277954,137,3804,3868
13,Rakovnik,central Bohemia,53921,61,22,1,1,2,41.2999992370605,8598,2.77,3.25999999046326,123,1597,1875
14,Ceske Budejovice,south Bohemia,177686,69,27,10,1,9,74.8000030517578,10045,1.42,1.71000003814697,135,6604,6295
15,Cesky Krumlov,south Bohemia,58796,22,16,7,1,5,51.9000015258789,9045,3.13,3.59999990463257,124,1845,1879
16,Jindrichuv Hradec,south Bohemia,93931,74,21,10,1,8,56.9000015258789,8427,1.12,1.53999996185303,107,1874,1913
